Year; Month;  Monthly Anomaly;Monthly Unc.;  Annual Anomaly; Annual Unc.;  Five-year Anomaly; Five-year Unc.; Ten-year  Anomaly; Ten-year Unc.;   Twenty-year Anomaly; Twenty-year Unc.
1850;1;-0.762;0.417;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1850;2;-0.23;0.447;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1850;3;-0.394;0.321;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1850;4;-0.614;0.357;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1850;5;-0.639;0.293;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1850;6;-0.374;0.333;-0.457;0.236;NaN;NaN;NaN;NaN;NaN;NaN
1850;7;-0.197;0.239;-0.406;0.237;NaN;NaN;NaN;NaN;NaN;NaN
1850;8;-0.167;0.293;-0.422;0.23;NaN;NaN;NaN;NaN;NaN;NaN
1850;9;-0.422;0.249;-0.438;0.242;NaN;NaN;NaN;NaN;NaN;NaN
1850;10;-0.602;0.372;-0.441;0.245;NaN;NaN;NaN;NaN;NaN;NaN
1850;11;-0.588;0.454;-0.417;0.253;NaN;NaN;NaN;NaN;NaN;NaN
1850;12;-0.491;0.345;-0.409;0.251;NaN;NaN;NaN;NaN;NaN;NaN
1851;1;-0.157;0.402;-0.412;0.255;NaN;NaN;NaN;NaN;NaN;NaN
1851;2;-0.421;0.366;-0.423;0.253;NaN;NaN;NaN;NaN;NaN;NaN
1851;3;-0.586;0.377;-0.42;0.259;NaN;NaN;NaN;NaN;NaN;NaN
1851;4;-0.65;0.338;-0.382;0.252;NaN;NaN;NaN;NaN;NaN;NaN
1851;5;-0.347;0.411;-0.365;0.249;NaN;NaN;NaN;NaN;NaN;NaN
1851;6;-0.277;0.292;-0.335;0.245;NaN;NaN;NaN;NaN;NaN;NaN
1851;7;-0.23;0.28;-0.341;0.246;NaN;NaN;NaN;NaN;NaN;NaN
1851;8;-0.304;0.282;-0.349;0.261;NaN;NaN;NaN;NaN;NaN;NaN
1851;9;-0.384;0.296;-0.365;0.262;NaN;NaN;NaN;NaN;NaN;NaN
1851;10;-0.146;0.326;-0.357;0.257;NaN;NaN;NaN;NaN;NaN;NaN
1851;11;-0.383;0.358;-0.342;0.253;NaN;NaN;NaN;NaN;NaN;NaN
1851;12;-0.133;0.333;-0.33;0.258;NaN;NaN;NaN;NaN;NaN;NaN
1852;1;-0.228;0.457;-0.316;0.259;NaN;NaN;NaN;NaN;NaN;NaN
1852;2;-0.52;0.52;-0.319;0.262;NaN;NaN;NaN;NaN;NaN;NaN
1852;3;-0.782;0.379;-0.312;0.262;NaN;NaN;NaN;NaN;NaN;NaN
1852;4;-0.544;0.333;-0.313;0.256;NaN;NaN;NaN;NaN;NaN;NaN
1852;5;-0.169;0.359;-0.326;0.257;NaN;NaN;NaN;NaN;NaN;NaN
1852;6;-0.138;0.333;-0.308;0.258;-0.344;0.209;NaN;NaN;NaN;NaN
1852;7;-0.056;0.264;-0.317;0.26;-0.332;0.215;NaN;NaN;NaN;NaN
1852;8;-0.347;0.307;-0.305;0.248;-0.331;0.212;NaN;NaN;NaN;NaN
1852;9;-0.294;0.268;-0.275;0.237;-0.329;0.213;NaN;NaN;NaN;NaN
