Year; Month;  Monthly Anomaly;Monthly Unc.;  Annual Anomaly; Annual Unc.;  Five-year Anomaly; Five-year Unc.; Ten-year  Anomaly; Ten-year Unc.;   Twenty-year Anomaly; Twenty-year Unc.
1850;1;-0.722;0.364;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1850;2;-0.221;0.414;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1850;3;-0.421;0.297;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1850;4;-0.566;0.306;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1850;5;-0.594;0.247;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1850;6;-0.371;0.274;-0.435;0.207;NaN;NaN;NaN;NaN;NaN;NaN
1850;7;-0.219;0.193;-0.391;0.207;NaN;NaN;NaN;NaN;NaN;NaN
1850;8;-0.187;0.234;-0.406;0.201;NaN;NaN;NaN;NaN;NaN;NaN
1850;9;-0.395;0.197;-0.419;0.212;NaN;NaN;NaN;NaN;NaN;NaN
1850;10;-0.560;0.304;-0.423;0.214;NaN;NaN;NaN;NaN;NaN;NaN
1850;11;-0.504;0.383;-0.404;0.221;NaN;NaN;NaN;NaN;NaN;NaN
1850;12;-0.459;0.300;-0.397;0.219;NaN;NaN;NaN;NaN;NaN;NaN
1851;1;-0.199;0.345;-0.400;0.221;NaN;NaN;NaN;NaN;NaN;NaN
1851;2;-0.392;0.327;-0.409;0.220;NaN;NaN;NaN;NaN;NaN;NaN
1851;3;-0.587;0.353;-0.406;0.225;NaN;NaN;NaN;NaN;NaN;NaN
1851;4;-0.609;0.279;-0.373;0.219;NaN;NaN;NaN;NaN;NaN;NaN
1851;5;-0.360;0.342;-0.357;0.217;NaN;NaN;NaN;NaN;NaN;NaN
1851;6;-0.288;0.241;-0.330;0.213;NaN;NaN;NaN;NaN;NaN;NaN
1851;7;-0.255;0.227;-0.333;0.214;NaN;NaN;NaN;NaN;NaN;NaN
1851;8;-0.297;0.228;-0.342;0.226;NaN;NaN;NaN;NaN;NaN;NaN
1851;9;-0.360;0.236;-0.357;0.226;NaN;NaN;NaN;NaN;NaN;NaN
1851;10;-0.163;0.270;-0.349;0.222;NaN;NaN;NaN;NaN;NaN;NaN
1851;11;-0.317;0.296;-0.335;0.220;NaN;NaN;NaN;NaN;NaN;NaN
1851;12;-0.135;0.285;-0.321;0.225;NaN;NaN;NaN;NaN;NaN;NaN
1852;1;-0.236;0.393;-0.304;0.225;NaN;NaN;NaN;NaN;NaN;NaN
1852;2;-0.497;0.459;-0.304;0.228;NaN;NaN;NaN;NaN;NaN;NaN
1852;3;-0.764;0.333;-0.297;0.228;NaN;NaN;NaN;NaN;NaN;NaN
1852;4;-0.511;0.286;-0.297;0.223;NaN;NaN;NaN;NaN;NaN;NaN
1852;5;-0.193;0.307;-0.309;0.224;NaN;NaN;NaN;NaN;NaN;NaN
1852;6;-0.122;0.279;-0.292;0.225;-0.331;0.182;NaN;NaN;NaN;NaN
1852;7;-0.055;0.218;-0.299;0.226;-0.320;0.186;NaN;NaN;NaN;NaN
1852;8;-0.299;0.248;-0.287;0.216;-0.318;0.184;NaN;NaN;NaN;NaN
1852;9;-0.267;0.214;-0.256;0.207;-0.316;0.185;NaN;NaN;NaN;NaN
1852;10;-0.165;0.211;-0.236;0.209;-0.308;0.181;NaN;NaN;NaN;NaN
1852;11;-0.459;0.312;-0.244;0.206;-0.303;0.179;NaN;NaN;NaN;NaN
1852;12;0.064;0.287;-0.251;0.202;-0.302;0.176;NaN;NaN;NaN;NaN
1853;1;-0.325;0.402;-0.247;0.197;-0.305;0.175;NaN;NaN;NaN;NaN
1853;2;-0.352;0.454;-0.228;0.192;-0.306;0.174;NaN;NaN;NaN;NaN
1853;3;-0.394;0.249;-0.236;0.187;-0.306;0.173;NaN;NaN;NaN;NaN
1853;4;-0.268;0.271;-0.260;0.192;-0.301;0.171;NaN;NaN;NaN;NaN
1853;5;-0.286;0.252;-0.270;0.190;-0.299;0.170;NaN;NaN;NaN;NaN
1853;6;-0.204;0.226;-0.302;0.189;-0.300;0.168;NaN;NaN;NaN;NaN
1853;7;-0.012;0.239;-0.319;0.187;-0.297;0.166;NaN;NaN;NaN;NaN
1853;8;-0.069;0.195;-0.333;0.180;-0.298;0.166;NaN;NaN;NaN;NaN
1853;9;-0.368;0.178;-0.326;0.180;-0.296;0.165;NaN;NaN;NaN;NaN
1853;10;-0.447;0.274;-0.336;0.170;-0.292;0.163;NaN;NaN;NaN;NaN
1853;11;-0.575;0.284;-0.337;0.166;-0.292;0.160;NaN;NaN;NaN;NaN
1853;12;-0.329;0.263;-0.360;0.166;-0.291;0.160;NaN;NaN;NaN;NaN
1854;1;-0.520;0.317;-0.378;0.161;-0.291;0.160;NaN;NaN;NaN;NaN
1854;2;-0.530;0.321;-0.389;0.158;-0.295;0.159;NaN;NaN;NaN;NaN
1854;3;-0.310;0.270;-0.376;0.161;-0.300;0.158;NaN;NaN;NaN;NaN
1854;4;-0.380;0.176;-0.334;0.158;-0.308;0.157;NaN;NaN;NaN;NaN
1854;5;-0.304;0.220;-0.305;0.162;-0.312;0.156;NaN;NaN;NaN;NaN
1854;6;-0.480;0.226;-0.295;0.173;-0.317;0.155;NaN;NaN;NaN;NaN
1854;7;-0.220;0.163;-0.259;0.193;-0.322;0.154;NaN;NaN;NaN;NaN
1854;8;-0.207;0.168;-0.224;0.195;-0.323;0.150;NaN;NaN;NaN;NaN
1854;9;-0.217;0.217;-0.222;0.199;-0.321;0.149;NaN;NaN;NaN;NaN
1854;10;0.061;0.233;-0.198;0.193;-0.325;0.148;NaN;NaN;NaN;NaN
1854;11;-0.224;0.334;-0.194;0.189;-0.334;0.147;NaN;NaN;NaN;NaN
1854;12;-0.205;0.446;-0.182;0.182;-0.341;0.145;-0.348;0.145;NaN;NaN
1855;1;-0.089;0.557;-0.195;0.183;-0.349;0.146;-0.345;0.145;NaN;NaN
1855;2;-0.114;0.394;-0.197;0.188;-0.351;0.145;-0.346;0.145;NaN;NaN
1855;3;-0.286;0.301;-0.214;0.183;-0.354;0.144;-0.348;0.146;NaN;NaN
1855;4;-0.094;0.277;-0.244;0.180;-0.360;0.144;-0.345;0.146;NaN;NaN
1855;5;-0.251;0.230;-0.254;0.171;-0.361;0.143;-0.343;0.145;NaN;NaN
1855;6;-0.341;0.206;-0.281;0.150;-0.366;0.143;-0.342;0.144;NaN;NaN
1855;7;-0.368;0.174;-0.277;0.132;-0.365;0.143;-0.342;0.144;NaN;NaN
1855;8;-0.239;0.197;-0.301;0.132;-0.367;0.140;-0.343;0.143;NaN;NaN
1855;9;-0.415;0.171;-0.316;0.131;-0.367;0.141;-0.342;0.143;NaN;NaN
1855;10;-0.296;0.244;-0.343;0.138;-0.367;0.138;-0.340;0.143;NaN;NaN
1855;11;-0.349;0.247;-0.351;0.141;-0.370;0.136;-0.340;0.142;NaN;NaN
1855;12;-0.528;0.273;-0.339;0.145;-0.372;0.134;-0.344;0.143;NaN;NaN
1856;1;-0.036;0.291;-0.333;0.147;-0.377;0.133;-0.350;0.143;NaN;NaN
1856;2;-0.408;0.458;-0.355;0.148;-0.381;0.133;-0.352;0.144;NaN;NaN
1856;3;-0.464;0.327;-0.374;0.152;-0.382;0.133;-0.352;0.143;NaN;NaN
1856;4;-0.416;0.215;-0.404;0.150;-0.379;0.131;-0.350;0.143;NaN;NaN
1856;5;-0.353;0.213;-0.422;0.148;-0.373;0.128;-0.351;0.142;NaN;NaN
1856;6;-0.200;0.368;-0.416;0.153;-0.376;0.128;-0.352;0.141;NaN;NaN
1856;7;-0.292;0.236;-0.457;0.155;-0.373;0.127;-0.353;0.141;NaN;NaN
1856;8;-0.497;0.209;-0.467;0.149;-0.369;0.127;-0.352;0.140;NaN;NaN
1856;9;-0.651;0.212;-0.484;0.149;-0.368;0.126;-0.353;0.140;NaN;NaN
1856;10;-0.650;0.189;-0.513;0.149;-0.362;0.126;-0.355;0.140;NaN;NaN
1856;11;-0.569;0.222;-0.544;0.150;-0.358;0.126;-0.354;0.138;NaN;NaN
1856;12;-0.457;0.245;-0.574;0.144;-0.352;0.124;-0.356;0.137;NaN;NaN
1857;1;-0.526;0.339;-0.592;0.148;-0.354;0.124;-0.361;0.137;NaN;NaN
1857;2;-0.527;0.253;-0.588;0.152;-0.357;0.125;-0.364;0.135;NaN;NaN
1857;3;-0.665;0.277;-0.571;0.152;-0.361;0.125;-0.362;0.134;NaN;NaN
1857;4;-0.773;0.193;-0.560;0.155;-0.367;0.124;-0.362;0.134;NaN;NaN
1857;5;-0.719;0.204;-0.554;0.152;-0.366;0.122;-0.363;0.133;NaN;NaN
1857;6;-0.564;0.196;-0.538;0.155;-0.365;0.117;-0.365;0.131;NaN;NaN
1857;7;-0.504;0.225;-0.514;0.155;-0.369;0.115;-0.367;0.131;NaN;NaN
1857;8;-0.450;0.214;-0.511;0.158;-0.373;0.115;-0.369;0.131;NaN;NaN
1857;9;-0.449;0.196;-0.487;0.159;-0.380;0.117;-0.371;0.130;NaN;NaN
1857;10;-0.521;0.199;-0.447;0.151;-0.382;0.119;-0.373;0.130;NaN;NaN
1857;11;-0.493;0.225;-0.423;0.146;-0.382;0.119;-0.374;0.130;NaN;NaN
1857;12;-0.263;0.247;-0.402;0.142;-0.381;0.120;-0.381;0.130;NaN;NaN
1858;1;-0.238;0.308;-0.388;0.139;-0.380;0.121;-0.380;0.130;NaN;NaN
1858;2;-0.486;0.257;-0.376;0.135;-0.380;0.122;-0.379;0.128;NaN;NaN
1858;3;-0.379;0.263;-0.374;0.133;-0.378;0.122;-0.379;0.128;NaN;NaN
1858;4;-0.301;0.207;-0.354;0.130;-0.379;0.123;-0.379;0.126;NaN;NaN
1858;5;-0.429;0.170;-0.331;0.126;-0.382;0.123;-0.379;0.125;NaN;NaN
1858;6;-0.306;0.166;-0.350;0.123;-0.387;0.127;-0.380;0.125;NaN;NaN
1858;7;-0.337;0.194;-0.358;0.121;-0.403;0.128;-0.383;0.125;NaN;NaN
1858;8;-0.310;0.194;-0.341;0.123;-0.407;0.130;-0.386;0.125;NaN;NaN
1858;9;-0.425;0.194;-0.332;0.119;-0.409;0.129;-0.387;0.126;NaN;NaN
1858;10;-0.286;0.156;-0.308;0.121;-0.408;0.130;-0.387;0.125;NaN;NaN
1858;11;-0.208;0.198;-0.277;0.124;-0.410;0.132;-0.385;0.125;NaN;NaN
1858;12;-0.494;0.219;-0.264;0.124;-0.413;0.130;-0.385;0.125;NaN;NaN
1859;1;-0.340;0.268;-0.263;0.124;-0.414;0.130;-0.386;0.124;NaN;NaN
1859;2;-0.279;0.276;-0.267;0.122;-0.410;0.130;-0.385;0.125;NaN;NaN
1859;3;-0.266;0.225;-0.273;0.123;-0.406;0.130;-0.386;0.125;NaN;NaN
1859;4;-0.019;0.202;-0.271;0.129;-0.403;0.131;-0.386;0.125;NaN;NaN
1859;5;-0.051;0.206;-0.271;0.134;-0.397;0.129;-0.385;0.125;NaN;NaN
1859;6;-0.154;0.173;-0.242;0.129;-0.395;0.128;-0.382;0.124;NaN;NaN
1859;7;-0.323;0.160;-0.241;0.137;-0.401;0.128;-0.382;0.124;NaN;NaN
